id_revision,nombre_politica,version_politica,fecha_revision,revisor,aprobador_ejecutivo,alcance_revision,decision,proxima_revision,referencia_evidencia,notas
SPR-2024-001,Politica de Seguridad de la Informacion,Revision anual 2024,2024-12-16,Hernan Castro,Junta Directiva,"Revision anual de adecuacion, incluidos cambios tecnologicos, riesgos, servicios criticos y terceros",Adecuada y aprobada,2025-12-16,Repositorio de Compliance de AGM,Registro de revision anual.
SPR-2025-001,Politica de Seguridad de la Informacion,Revision anual 2025,2025-12-16,Hernan Castro,Junta Directiva,"Revision anual de adecuacion, incluidos cambios tecnologicos, riesgos, servicios criticos y terceros",Adecuada y aprobada,2026-12-16,Repositorio de Compliance de AGM,Registro de revision anual.
SPR-2026-001,Politica de Seguridad de la Informacion,Version vigente del repositorio,2026-08-25,Hernan Castro,Junta Directiva,"Revision anual de adecuacion, incluidos cambios tecnologicos, riesgos, servicios criticos y terceros",Adecuada y aprobada,2027-08-25,Carpeta de evidencia de ciberseguridad y repositorio de Compliance de AGM,Conservar el correo de aprobacion y comunicacion junto con la evidencia enviada.
